,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
88,2021-03-19 23:01:07,Lime,Lime CPA,Займ хороший,3000,,,,,,bus,Finpublic
89,2021-03-19 22:01:01,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
90,2021-03-19 17:23:09,Lime,Lime CPA,Займ средний,1800,,,,,,bus,Finpublic
91,2021-03-18 18:01:16,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
92,2021-03-18 08:49:22,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
93,2021-03-17 12:01:32,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
94,2021-03-17 11:49:16,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
95,2021-03-16 20:55:16,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
96,2021-03-16 11:41:11,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
97,2021-03-16 07:55:14,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
98,2021-03-15 17:59:05,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
99,2021-03-14 20:39:12,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
100,2021-03-14 19:59:18,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
101,2021-03-14 17:01:23,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
102,2021-03-14 10:59:12,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
103,2021-03-13 14:17:10,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
104,2021-03-12 14:01:19,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
105,2021-03-11 13:55:11,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
106,2021-03-11 10:09:13,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
107,2021-03-11 08:25:12,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
108,2021-03-10 23:00:55,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
109,2021-03-10 12:41:15,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
110,2021-03-08 19:01:10,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
111,2021-03-08 18:01:14,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
112,2021-03-06 04:59:16,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
113,2021-03-05 18:47:19,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
114,2021-03-04 14:09:11,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
115,2021-03-03 19:00:57,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
116,2021-03-03 17:01:07,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
117,2021-03-03 10:53:15,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
118,2021-03-02 19:01:14,Lime,Lime CPA,Займ средний,1800,,,om,,,,Finpublic
119,2021-03-02 16:01:36,Lime,Lime CPA,Займ хороший,3000,zs,,,,,,Finpublic
120,2021-03-01 21:11:11,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
121,2021-03-01 13:52:11,Lime,Lime CPA,Займ средний,1800,zs,,,,,,Finpublic
122,2021-03-01 10:53:08,Lime,Lime CPA,Займ хороший,3000,,,om,,,,Finpublic
