referrer,sub3,goal
24zaym.site,['1828983'],2
3aum2023.online,['53116'],2
4.poluchit-zaem.ru,['153590'],2
6.onlinezaimkarta.ru,['77243'],1
7ap.ru,['1750'],1
911zaym.ru,[''],2
a1.onlinezaemdeneg.ru,['173535'],1
a2.onlinezaemdeneg.ru,['173535'],1
a4.onlinezaemdeneg.ru,['173535'],1
a4.onlinezaimkarta.ru,['173535'],3
a7.poluchit-zaem.ru,['153590'],2
account.mail.ru,['25265'],1
ad.leadgid.ru,['27805'],1
agents.nfc-partners.ru,['176081'],1
ai-credit.ru,['18948'],1
algyszaim.online,['35173' '2877'],60
all-zaim.ru,['330440'],4
altanzaim.online,['35173' '2877'],27
am-finance.ru,['128514'],1
amurskaya-oblast-blagoveschensk.bankiros.ru,[''],2
android-app://org.telegram.messenger/,['45551'],1
argyszaim.ru,['131553'],13
arhangelsk.bankiros.ru,[''],1
art.vkcredits.ru,['9'],2
as-zaym.ru,['6041'],1
astrahan.bankiros.ru,[''],1
away.vk.com,"['157580' 'CrazyWolf' '127244' '162402' '45551' '61641' '29269' '159428'
 '156213' '14795' '141099' '165659' '27930' '129922' '154904' '52519'
 '150965' '146064' '64416' '172413' '140558' '157644' '1642' '69172'
 'usbfan' '171677' '74207' '57977' '129875' '62788' '53274' '21836' ''
 '164751' '174640' '107079' '15BR' '10762' '106842' '15335'
 'cf357a48-d500-4fb4-bdad-5e76c822c788' '119907' '131043' '112512'
 '150284' '71984' '75490' '172710' '117273' '306598' '36150' '24317'
 '119910' '157406' '128356' '106977' '61711' '167491' '167617' '119879'
 '107105' '49' '119882' '165658' '72176' '119897' '106840' '146651'
 '110602' '8' '1776605' '119889' '112915' '181262' '110355' '119894'
 '107187' 'e7986030-cf83-11eb-8beb-1bc94f8ee905' '108584' '119892'
 '106976' '108080' '107300' '173223' '119890' '108512' '108312' '109612'
 '127598' '119883' '106964' '110919' '55772' '110043' '119878' '107665'
 '38035' '889145' '153129' '161287' '71801' '168512' '1255776' '53216'
 '25942' '73818' '9' '75014' '107030' '18948' '119128' '107980' '1336781'
 '181295' '37867']",2109
b5.poluchit-zaem.ru,['153590'],1
baboszaim.store,['77693'],1
bank-tops.ru,['843361'],3
bank24rus.myzaim.pro,['161515'],5
banki-kredity.ru,['31811'],1
banki.loans,['416'],1
bankiclub.ru,['5621'],1
bankiki.ru,['146402'],3
bankirmfo.ru,['198' '70538'],8
bankiros.ru,[''],120
bankivse.fun,['502' '504' '194'],9
bankpro.su,['163504' '172208'],2
banksinfo.fun,['645' '199' '25634' '197' '672' '641'],84
berizaimbistro.com,['816'],21
best-banki.ru,['153214'],32
best-online-zaymi-ru.ru,['161515'],1
best-zaymi-online.ru,['161515'],1
best24zaim.com,['816'],1
bestonline-zaymi.ru,['161515'],11
bestonline-zaymiru.ru,['161515'],4
bestonlinezaymiru.ru,['161515'],2
bestzaymi-online.ru,['161515'],3
